iter	RMSE
405	709.2918215
406	701.4643916
407	696.6356448
408	691.8959888
409	687.323591
410	680.7260481
411	677.4958609
412	671.43693
413	664.9310282
414	658.9532765
415	656.4239621
416	649.8594328
417	643.4687662
418	634.6558611
419	628.6943815
420	628.1805826
421	620.1630071
422	617.3562285
423	609.5320608
424	603.7965052
425	600.1405881
426	595.7555283
427	590.1688877
428	583.2110865
429	578.9598201
430	575.6467399
431	572.1134867
432	566.9431131
433	565.6681561
434	561.2787977
435	554.5297574
436	549.1184971
437	544.0728718
438	541.0435492
439	537.8605807
440	532.9411763
441	527.9020828
442	525.2167312
443	523.9628443
444	518.6731871
445	514.8144078
446	511.7534589
447	505.08256
448	501.6961326
449	498.9917622
450	498.6961367
451	493.531712
452	492.2749463
453	488.7463124
454	482.4732513
455	481.1563072
456	476.8356022
457	472.6244135
458	469.5357107
459	466.6334546
460	462.190836
461	460.4156442
462	454.9103034
463	449.7055283
464	445.4588748
465	442.29762
466	440.0912009
467	435.0611828
468	430.8346446
469	426.4689769
470	422.6489708
471	419.7569938
472	415.6648369
473	413.9990198
474	412.0020195
475	410.9195477
476	408.1593706
477	404.9378574
478	403.2498563
479	400.7833823
480	400.3763053
481	397.9430305
482	395.0823941
483	389.6314713
484	387.6092435
485	383.8079739
486	381.2236219
487	379.1000757
488	375.5531703
489	371.4160355
490	369.2544967
491	366.8153928
492	363.6196577
493	362.3967899
494	360.45832
495	356.9582478
496	353.5526887
497	352.1397982
498	349.4894862
499	347.2090405
500	344.6605466
501	342.3551977
502	338.8606937
503	336.2950456
504	332.4482231
505	331.0484693
506	328.3168999
507	326.7872126
508	323.9925661
509	322.0263162
510	319.0097786
511	317.3600811
512	314.3004804
513	310.4464238
514	307.5285789
515	304.8451867
516	302.6341518
517	301.7677231
518	300.1003857
519	299.95326
520	296.7169413
521	295.4732279
522	292.5884011
523	290.4775529
524	289.9905257
525	289.8682672
526	288.0972094
527	287.5766421
528	284.8270155
529	284.1056845
530	284.0278145
531	282.7822371
532	280.3140353
533	278.9254896
534	276.7743758
535	274.1038801
536	272.9815434
537	270.4992174
538	269.309716
539	267.5462847
540	265.1591872
541	262.9232872
542	261.8425462
543	258.6542959
544	255.9918983
545	252.7105295
